No,Project Name,Municipality,Sector,Currency,Amount,YearStart,YearEnd_original,Funding/Donor,Implementing Partner,Status_original,SDGs_Alignment,NSDP_Alignment,YearEnd,Donor,Implementing Agency,Status,Budget,level_areas,Category,budget_clean
228,Subsidies for Community Leaders,Ermera,Local Development,USD,"1,449,640.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1449640.0,Municipality,Government of Timor-Leste,1449640.0
229,Ministry of State Administration,Dili,Local Development,USD,"1,545,182.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1545182.0,Municipality,Government of Timor-Leste,1545182.0
230,"Municipality Authority, Baucau",Baucau,Local Development,USD,"2,432,412.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2432412.0,Municipality,Government of Timor-Leste,2432412.0
231,"Municipality Authority, Bobonaro",Bobonaro,Local Development,USD,"1,817,330.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1817330.0,Municipality,Government of Timor-Leste,1817330.0
232,"Municipality Authority, Dili",Dili,Local Development,USD,"740,955.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,740955.0,Municipality,Government of Timor-Leste,740955.0
233,"Municipality Authority, Ermera",Ermera,Local Development,USD,"2,221,969.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2221969.0,Municipality,Government of Timor-Leste,2221969.0
234,"Public Administration, Municipality of Aileu",Aileu,Local Development,USD,"918,902.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,918902.0,Municipality,Government of Timor-Leste,918902.0
235,"Public Administration, municipality of Ainaro",Ainaro,Local Development,USD,"629,224.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,629224.0,Municipality,Government of Timor-Leste,629224.0
236,"Public Administration, Municipality of Covalima",Covalima,Local Development,USD,"1,045,713.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1045713.0,Municipality,Government of Timor-Leste,1045713.0
237,"Public Administration, Municipality of Lautem",Lautem,Local Development,USD,"1,002,641.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1002641.0,Municipality,Government of Timor-Leste,1002641.0
238,"Public Administration, Municipality of Liquica",Liquica,Local Development,USD,"853,616.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,853616.0,Municipality,Government of Timor-Leste,853616.0
239,"Public Administration, Municipality of Manatuto",Manatuto,Local Development,USD,"1,087,652.05",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1087652.05,Municipality,Government of Timor-Leste,1087652.05
240,"Public Administration, Municipality of Manufahi",Manufahi,Local Development,USD,"908,552.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,908552.0,Municipality,Government of Timor-Leste,908552.0
241,"Public Administration, Municipality of Viqueque",Viqueque,Local Development,USD,"1,082,030.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,1082030.0,Municipality,Government of Timor-Leste,1082030.0
242,Atauro Administrative Authority,Atauro,Local Development,USD,"216,807.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,216807.0,Municipality,Government of Timor-Leste,216807.0
243,Construction of the  Pediatric and ICCU Building in Guido Valadares National Hospital  HNGV,Dili,Health,USD,"2,802,500.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,2802500.0,Municipality,Government of Timor-Leste,2802500.0
244,Supervision for Construction of the  Pediatric and ICCU Building in Guido Valadares National Hospital  HNGV,Dili,Health,USD,"364,841.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,364841.0,Municipality,Government of Timor-Leste,364841.0
245,Construction of New  Warehouse for Medical Equipment,Dili,Health,USD,"400,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,400000.0,Municipality,Government of Timor-Leste,400000.0
246,Consultant Supervision for New Construction of Warehouse for Medical Equipment,Dili,Health,USD,"142,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,142000.0,Municipality,Government of Timor-Leste,142000.0
247,Rehabilitation of Dr  Antonio Carvalho Hospital Lahane,Dili,Health,USD,"100,000.00",2025,Not identified,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Gov TL - Infrastructure Fund,GovTL,Ongoing - Active,100000.0,Municipality,Government of Timor-Leste,100000.0
286,Timor-Leste Water Supply and Sanitation Project - Lot 1 Lospalos,Lautem,Water and Sanitation,USD,"22,481,526.00",2024,2027,WB and FI,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,2027.0,WB and FI,GovTL,Ongoing - Active,22481526.0,Municipality,Multilateral/Banks,22481526.0
287,Timor-Leste Water Supply and Sanitation Project - Lot 3 Same,Manufahi,Water and Sanitation,USD,"20,590,212.00",2024,2027,WB and FI,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",3. Economic Development,2027.0,WB and FI,GovTL,Ongoing - Active,20590212.0,Municipality,Multilateral/Banks,20590212.0
288,"Timor-Leste Water Supply and Sanitation Project (Aileu, Gleno, Liquisa)",Timor-Leste,Water and Sanitation,USD,"2,435,960.00",2025,Not identified,FI,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,FI,GovTL,Ongoing - Active,2435960.0,National,Other,2435960.0
289,"Timor-Leste Water Supply and Sanitation Project (Ainaro, Maliana, Suai)",Timor-Leste,Water and Sanitation,USD,"2,906,820.00",2025,Not identified,FI,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,FI,GovTL,Ongoing - Active,2906820.0,National,Other,2906820.0
294,Municipal Finance Service,Aileu,Finance,USD,"1,159,098.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1159098.0,Municipality,Other,1159098.0
295,Health Municipal Services,Aileu,Health,USD,"252,243.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,252243.0,Municipality,Other,252243.0
296,Municipal Education Services,Aileu,Education,USD,"1,722,476.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1722476.0,Municipality,Other,1722476.0
297,Municipal Services for Agriculture,Aileu,Agriculture,USD,"318,474.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,318474.0,Municipality,Other,318474.0
298,Municipal Public Works and Transportation Services,Aileu,Infrastructure,USD,"103,517.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,103517.0,Municipality,Other,103517.0
299,Municipal Water Services Basic Sanitation and Environment,Aileu,Water and Sanitation,USD,"142,357.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,142357.0,Municipality,Other,142357.0
300,Municipal Services for Market Management and Tourism,Aileu,Economic development,USD,"64,050.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,64050.0,Municipality,Other,64050.0
301,Municipal Services of Notary and Cadastral Registers,Aileu,Local Development,USD,"47,446.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,47446.0,Municipality,Other,47446.0
302,Municipal Civil Protection and Natural Disasters Management Service,Aileu,Climate Change and Disaster Risk,USD,"77,732.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,77732.0,Municipality,Other,77732.0
303,Municipal Food Security Services,Aileu,Local Development,USD,"62,407.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,62407.0,Municipality,Other,62407.0
304,Distric Administration (Posto Administrativo) Services,Aileu,Governance/Decentralization,USD,"29,600.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,29600.0,Municipality,Other,29600.0
305,Municipal Services for Social Action,Aileu,Institutional Development,USD,"108,914.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,108914.0,Municipality,Other,108914.0
306,Municipal Secretariat for Integrated Planning and Development,Aileu,PDIM,USD,"966,240.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,966240.0,Municipality,Other,966240.0
307,Municipal Planning Agency,Aileu,Institutional Development,USD,"26,400.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,26400.0,Municipality,Other,26400.0
308,Municipal Inspection Agency,Aileu,Institutional Development,USD,"3,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,3000.0,Municipality,Other,3000.0
309,Municipal Heritage and Logistics Service,Aileu,Institutional Development,USD,"225,134.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,225134.0,Municipality,Other,225134.0
310,Municipal Support Service to the National Program for Village Development,Aileu,PNDS,USD,"1,333,315.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1333315.0,Municipality,Other,1333315.0
311,Municipal Service Support for NGOs and Community Organizations,Aileu,Local Development,USD,"856,461.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,856461.0,Municipality,Other,856461.0
312,Municipal Service of Administration and Human Resources,Aileu,Government/CSO,USD,"22,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,22000.0,Municipality,Other,22000.0
313,Construction of Roads and Bridges,Aileu,Construction,USD,"14,401.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,14401.0,Municipality,Other,14401.0
314,Maintenance and Conservation of Roads and Bridges,Aileu,Construction,USD,"89,116.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,89116.0,Municipality,Other,89116.0
315,National security - Prevention and Mitigation,Aileu,Climate Change and Disaster Risk,USD,"59,732.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,59732.0,Municipality,Other,59732.0
316,Management of Disaster risks,Aileu,Climate Change and Disaster Risk,USD,"18,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,18000.0,Municipality,Other,18000.0
317,Access to Justice,Aileu,Access to Justice,USD,"47,446.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,47446.0,Municipality,Other,47446.0
318,Institutional Functioning,Aileu,Institutional Development,USD,"882,461.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,882461.0,Municipality,Other,882461.0
319,Institutional Development,Aileu,Institutional Development,USD,"1,409,632.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,1409632.0,Municipality,Other,1409632.0
320,Pre-School Education (School lunch and Management of Pre-School Education Policy),Aileu,Education,USD,"118,335.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,118335.0,Municipality,Other,118335.0
321,Basic Education (School Lunch Program),Aileu,Education,USD,"1,604,041.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1604041.0,Municipality,Other,1604041.0
322,Primary Health Care (Administrative and Logistic Support),Aileu,Health,USD,"252,243.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,252243.0,Municipality,Other,252243.0
323,Water and Sanitation - Management of Drinking Water Supply Systems and protection),Aileu,Water and Sanitation,USD,"142,357.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,142357.0,Municipality,Other,142357.0
324,Social Inclusion - Providing Public Funeral Services; Provision of food and non food support for most vulnerable; Women),Aileu,Gender Equality/Equality and Inclusion,USD,"108,914.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,108914.0,Municipality,Other,108914.0
325,Promotion of Timor-Leste as a Tourist Destination,Aileu,"Tourism, Recreation, and Sport",USD,"2,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,2000.0,Municipality,Other,2000.0
326,"Investment and Economic Diversification - Regularisation, Monitoring and Control of Activities",Aileu,Economic development,USD,"62,050.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,62050.0,Municipality,Other,62050.0
327,Production and Productivity of Agricultural and Horicultural Products,Aileu,Agriculture,USD,"300,974.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,300974.0,Municipality,Other,300974.0
328,Implenetation of te Food security Policy,Aileu,Agriculture,USD,"62,407.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,62407.0,Municipality,Other,62407.0
329,Production and Productivity of Coffee Products,Aileu,Agriculture,USD,"5,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,5000.0,Municipality,Other,5000.0
330,Livestock Veterinary and Technology - Production and Productivity of Animal products; Animal Disease Control,Aileu,Agriculture,USD,"12,500.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,12500.0,Municipality,Other,12500.0
331,Institutional Functioning and Development,Ainaro,Institutional Development,USD,"1,527,438.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,1527438.0,Municipality,Other,1527438.0
332,Municipal Health Services,Ainaro,Institutional Development,USD,"331,447.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,331447.0,Municipality,Other,331447.0
333,Pre-School Education (School lunch and Management of Pre-School Education Policy),Ainaro,Education,USD,"302,823.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,302823.0,Municipality,Other,302823.0
334,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Ainaro,Education,USD,"1,911,730.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1911730.0,Municipality,Other,1911730.0
335,Recurrent Education - Strengthening Community learning Centers,Ainaro,Education,USD,"25,392.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,25392.0,Municipality,Other,25392.0
336,Municipal Services for Agriculture,Ainaro,Agriculture,USD,"358,665.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,358665.0,Municipality,Other,358665.0
337,"Roads and Bridges - Transport; Construction, Maintenance, and Conservation of Roads and Bridges)",Ainaro,Construction,USD,"395,136.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,395136.0,Municipality,Other,395136.0
338,"Environment - Construction, Conservation, Repair, and Management of gardens, parks; Planting of trees and shrubs",Ainaro,Urban Development,USD,"130,173.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,130173.0,Municipality,Other,130173.0
339,Sanitation - Management and treatment of solid urban waste; Cleaning public spaces including beaches and bathing areas,Ainaro,Urban Development,USD,"3,900.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,3900.0,Municipality,Other,3900.0
340,Protection of drinking water sources and supply systems,Ainaro,Water and Sanitation,USD,"26,510.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,26510.0,Municipality,Other,26510.0
341,Support and promotion of local products and craft activities; Metrological control and measurement instruments,Ainaro,Economic development,USD,"67,830.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,67830.0,Municipality,Other,67830.0
342,Promotion of Timor-Leste as a Tourist Destination - Development of Community-based Tourism,Ainaro,"Tourism, Recreation, and Sport",USD,"5,600.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,5600.0,Municipality,Other,5600.0
343,Municipal Services for Civil Protection and Disaster Risk Management,Ainaro,Climate Change and Disaster Risk,USD,"113,438.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,113438.0,Municipality,Other,113438.0
344,Implementation of the Food Security Policy,Ainaro,Agriculture,USD,"50,396.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,50396.0,Municipality,Other,50396.0
345,Administrative Decentralization and Local Authority,Ainaro,Governance/Decentralization,USD,"30,067.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,30067.0,Municipality,Other,30067.0
346,Social Inclusion - Providing Public Funeral Services; Provision of food and non food support for most vulnerable; Women),Ainaro,Gender Equality/Equality and Inclusion,USD,"96,584.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,96584.0,Municipality,Other,96584.0
347,Municipal Integrated Development Planning,Ainaro,PDIM,USD,"500,711.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,500711.0,Municipality,Other,500711.0
348,Municipal Planning Agency - Institutional Functioning and Development,Ainaro,Local Development,USD,"11,520.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,11520.0,Municipality,Other,11520.0
349,Municipal Inspection Agency - Inspection supervision and audit,Ainaro,Local Development,USD,"30,813.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,30813.0,Municipality,Other,30813.0
350,Municipal Secretariat for Administration and Human Resources - Human Resource Management,Ainaro,Local Development,USD,"5,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,5000.0,Municipality,Other,5000.0
351,Municipal Heritage and Logistics Service - Asset management and Logistics,Ainaro,Local Development,USD,"155,173.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,155173.0,Municipality,Other,155173.0
352,The National Program for Village Development PNDS,Ainaro,PNDS,USD,"1,057,601.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,4. Transforming Education,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1057601.0,Municipality,Other,1057601.0
353,Access to Justice - Cadastral Services; Registration and Notary Services,Ainaro,Access to Justice,USD,"37,694.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,37694.0,Municipality,Other,37694.0
354,Municipal Services Support to NGOs and Community Organizations - Strengthen the functioning of Suco administration; Subsidies for community leaders,Ainaro,Local Development,USD,"682,156.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,682156.0,Municipality,Other,682156.0
355,Administrative Decentralization,Baucau,Governance/Decentralization,USD,"56,000.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,56000.0,Municipality,Other,56000.0
356,The National Program for Village Development PNDS,Baucau,PNDS,USD,"3,020,112.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,3020112.0,Municipality,Other,3020112.0
357,Municipal Integrated Development Planning,Baucau,PDIM,USD,"1,419,212.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,2. Energy Access & Affordability,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,1419212.0,Municipality,Other,1419212.0
358,Maintenance and Conservation of Roads and Bridges,Baucau,Infrastructure,USD,"121,634.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,121634.0,Municipality,Other,121634.0
359,National security - Management of Disaster Risks,Baucau,Climate Change and Disaster Risk,USD,"64,405.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,3. Economic Development,,Government of Timor Leste,GovTL,Ongoing - Active,64405.0,Municipality,Other,64405.0
360,Access to Justice - Cadastral Services; Registration and Notary Services,Baucau,Local Development,USD,"49,358.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,"6. Climate, Biodiversity & Pollution",4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,49358.0,Municipality,Other,49358.0
361,Institutional Development and Functioning - Subsidies for community leaders; Strengthen the functioning of Suco administration,Baucau,Local Development,USD,"1,767,891.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,1. Transformation Food Systems,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,1767891.0,Municipality,Other,1767891.0
362,Institutional Development - Human Resource Management; Asset management and Logistics; Administrative Management and Finance,Baucau,Local Development,USD,"1,721,575.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,1721575.0,Municipality,Other,1721575.0
363,Pre-School Education (School lunch and Management of Pre-School Education Policy),Baucau,Education,USD,"135,656.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,1. Social Capital,,Government of Timor Leste,GovTL,Ongoing - Active,135656.0,Municipality,Other,135656.0
364,Basic Education - Effectiveness of the teaching and learning process; Provision of school meals at the primary level,Baucau,Education,USD,"2,911,904.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,2911904.0,Municipality,Other,2911904.0
365,Primary Health Care - Administrative and Logistic Support; Promotion of Health Education,Baucau,Health,USD,"325,896.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,2. Infrastructure Development,,Government of Timor Leste,GovTL,Ongoing - Active,325896.0,Municipality,Other,325896.0
366,Water and Sanitation - Environment; Sanitation; Management of the Environment; Construction maintenance and repair of drinking water supply systems,Baucau,Water and Sanitation,USD,"143,692.00",2025,Not identified,GovTL,GovTL,Ongoing - Active,5. Job & Social Protection,4. Institutional Framework,,Government of Timor Leste,GovTL,Ongoing - Active,143692.0,Municipality,Other,143692.0
